fold,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2
1,22848.145221931904,71168.49630106261,8854.63454573592,22833.21370078461,0.9966773756438131,0.9871644504921558
2,26562.19146274011,26791.279962221535,6673.7866727980545,7933.626075787148,0.9965396203905718,0.9972741297266281
3,5394.6376741107,8132.197014047732,1925.3713762425036,3368.1240648575354,0.9998778138220116,0.9994372453131136
4,4823.415938973406,7216.802012998862,1847.4293090611857,2688.639703070583,0.9999046317836827,0.9993661940251015
5,21179.473149332818,29806.915011230514,6491.432824862129,8581.322288721878,0.9980446230392513,0.9943366612536637
