fold,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2
1,879.7186051797416,599.3322448087562,259.28577395311424,255.76793987483396,0.9712851283544526,0.9821073546181434
2,793.2627462532109,986.2904781205993,260.5248644229727,246.29789636585178,0.9773877148800072,0.9425347014382309
3,910.9688942562505,1066.7665003024301,258.79981644199444,382.45519638402124,0.9664186707724997,0.9606250494311472
4,898.9313185376405,268.83715294435893,276.4216909630449,109.38039534120333,0.9736550061339135,0.9475652107941741
5,708.0495036320366,1811.7266338056936,213.09157727066795,464.1673220572727,0.9712573142479699,0.9449342820796599
