fold,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2
1,245870.40345904813,465918.89831874863,105278.64559238049,242307.88266324054,0.6152382856364285,0.44987733365576554
2,288293.8699191441,315140.2507619664,129210.09631705061,133685.50154445227,0.5923694221907869,0.6228396668350425
3,279316.3466362034,1026673.8983106462,132613.02650523625,404218.48291338986,0.6724404814345216,-7.969502999163343
4,163104.74343262057,281332.36539131816,84970.07719090098,164245.04686824992,0.8909495619231298,0.036822913355938236
5,165141.8535939543,307730.1785503051,82387.37176060199,170894.26632443993,0.881118439168128,0.3963590994439631
