fold,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2
1,5293.032780259465,74590.56190157322,1906.761909217494,18925.129995667205,0.9998216847402154,0.9859004048065885
2,11155.667426316993,28082.211728735787,3151.8583411429267,9148.226822190058,0.9993896386066824,0.9970051099907616
3,9650.23480859154,11918.247137806124,3618.5782220110214,5048.337697201683,0.9996090031311387,0.998791273311954
4,16534.523208666054,8354.773199440107,4741.293530909947,3146.482089778355,0.9988793304188565,0.9991505534106342
5,17931.49007565266,13559.268075939726,5127.146816824777,5502.250553385416,0.998598371405373,0.9988280448955656
